2026-07-17T16:39:14.944Z,a58bc85c-62c8-4979-933a-de694dc7e653,Zephyr,ZephyrBoard,elementTap,ZEPHYR_HOME_BUTTON,button,,,,,
2026-07-17T16:39:14.945Z,a58bc85c-62c8-4979-933a-de694dc7e653,Zephyr,ZephyrBoard,actionRun,ZEPHYR_HOME_BUTTON,,,goToScene,,,
2026-07-17T16:39:14.945Z,a58bc85c-62c8-4979-933a-de694dc7e653,Zephyr,ZephyrBoard,sceneExit,,,2771,,,,
2026-07-17T16:39:14.945Z,a58bc85c-62c8-4979-933a-de694dc7e653,Home,,sceneEnter,,,,,,,
2026-07-17T16:39:16.171Z,a58bc85c-62c8-4979-933a-de694dc7e653,Home,,elementTap,AcademicProg,button,,,,,
2026-07-17T16:39:16.171Z,a58bc85c-62c8-4979-933a-de694dc7e653,Home,,actionRun,AcademicProg,,,goToScene,,,
2026-07-17T16:39:16.171Z,a58bc85c-62c8-4979-933a-de694dc7e653,Home,,sceneExit,,,1226,,,,
2026-07-17T16:39:16.171Z,a58bc85c-62c8-4979-933a-de694dc7e653,AcademicProg,,sceneEnter,,,,,,,
2026-07-17T16:39:17.167Z,a58bc85c-62c8-4979-933a-de694dc7e653,AcademicProg,,elementTap,ACADEMY_OVERVIEW_BUTTON,button,,,,,
2026-07-17T16:39:17.168Z,a58bc85c-62c8-4979-933a-de694dc7e653,AcademicProg,,actionRun,ACADEMY_OVERVIEW_BUTTON,,,setState,,,
2026-07-17T16:39:17.168Z,a58bc85c-62c8-4979-933a-de694dc7e653,AcademicProg,,stateExit,,,997,,,,
2026-07-17T16:39:18.509Z,a58bc85c-62c8-4979-933a-de694dc7e653,AcademicProg,OverviewState,elementTap,ACADEMY_BOOK_BUTTON,button,,,,,
2026-07-17T16:39:18.509Z,a58bc85c-62c8-4979-933a-de694dc7e653,AcademicProg,OverviewState,actionRun,ACADEMY_BOOK_BUTTON,,,setState,,,
2026-07-17T16:39:18.509Z,a58bc85c-62c8-4979-933a-de694dc7e653,AcademicProg,OverviewState,stateExit,,,1341,,,,
2026-07-17T16:39:19.320Z,a58bc85c-62c8-4979-933a-de694dc7e653,AcademicProg,TextbookState,elementTap,ACADEMY_PY_BUTTON,button,,,,,
2026-07-17T16:39:19.320Z,a58bc85c-62c8-4979-933a-de694dc7e653,AcademicProg,TextbookState,actionRun,ACADEMY_PY_BUTTON,,,setState,,,
2026-07-17T16:39:19.320Z,a58bc85c-62c8-4979-933a-de694dc7e653,AcademicProg,TextbookState,stateExit,,,811,,,,
2026-07-17T16:39:20.317Z,a58bc85c-62c8-4979-933a-de694dc7e653,AcademicProg,PythonState,elementTap,ACADEMY_OVERVIEW_BUTTON,button,,,,,
2026-07-17T16:39:20.317Z,a58bc85c-62c8-4979-933a-de694dc7e653,AcademicProg,PythonState,actionRun,ACADEMY_OVERVIEW_BUTTON,,,setState,,,
2026-07-17T16:39:20.318Z,a58bc85c-62c8-4979-933a-de694dc7e653,AcademicProg,PythonState,stateExit,,,998,,,,
2026-07-17T16:39:22.326Z,a58bc85c-62c8-4979-933a-de694dc7e653,AcademicProg,OverviewState,sceneExit,,,6155,,,,
2026-07-17T16:39:22.326Z,a58bc85c-62c8-4979-933a-de694dc7e653,Home,,sceneEnter,,,,,,,
2026-07-17T16:39:23.482Z,a58bc85c-62c8-4979-933a-de694dc7e653,Home,,elementTap,AI Assist,button,,,,,
2026-07-17T16:39:23.482Z,a58bc85c-62c8-4979-933a-de694dc7e653,Home,,actionRun,AI Assist,,,goToScene,,,
2026-07-17T16:39:23.482Z,a58bc85c-62c8-4979-933a-de694dc7e653,Home,,sceneExit,,,1156,,,,
2026-07-17T16:39:23.482Z,a58bc85c-62c8-4979-933a-de694dc7e653,AI Assist VScode,,sceneEnter,,,,,,,
2026-07-17T16:39:25.419Z,a58bc85c-62c8-4979-933a-de694dc7e653,AI Assist VScode,,elementTap,VSAI_HOME_BUTTON,button,,,,,
2026-07-17T16:39:25.419Z,a58bc85c-62c8-4979-933a-de694dc7e653,AI Assist VScode,,actionRun,VSAI_HOME_BUTTON,,,goToScene,,,
2026-07-17T16:39:25.419Z,a58bc85c-62c8-4979-933a-de694dc7e653,AI Assist VScode,,sceneExit,,,1937,,,,
2026-07-17T16:39:25.419Z,a58bc85c-62c8-4979-933a-de694dc7e653,Home,,sceneEnter,,,,,,,
2026-07-17T16:39:26.418Z,a58bc85c-62c8-4979-933a-de694dc7e653,Home,,elementTap,DevTools,button,,,,,
2026-07-17T16:39:26.418Z,a58bc85c-62c8-4979-933a-de694dc7e653,Home,,actionRun,DevTools,,,goToScene,,,
2026-07-17T16:39:27.116Z,a58bc85c-62c8-4979-933a-de694dc7e653,Home,,elementTap,DevTools,button,,,,,
2026-07-17T16:39:27.116Z,a58bc85c-62c8-4979-933a-de694dc7e653,Home,,actionRun,DevTools,,,goToScene,,,
2026-07-17T16:39:27.116Z,a58bc85c-62c8-4979-933a-de694dc7e653,Home,,sceneExit,,,1697,,,,
2026-07-17T16:39:27.116Z,a58bc85c-62c8-4979-933a-de694dc7e653,DevTools,,sceneEnter,,,,,,,
2026-07-17T16:39:29.134Z,a58bc85c-62c8-4979-933a-de694dc7e653,DevTools,,elementTap,L1Button,button,,,,,
2026-07-17T16:39:29.134Z,a58bc85c-62c8-4979-933a-de694dc7e653,DevTools,,actionRun,L1Button,,,setState,,,
2026-07-17T16:39:29.134Z,a58bc85c-62c8-4979-933a-de694dc7e653,DevTools,,stateExit,,,2018,,,,
2026-07-17T16:39:29.299Z,a58bc85c-62c8-4979-933a-de694dc7e653,DevTools,iarState,elementTap,HomeButton,button,,,,,
2026-07-17T16:39:29.300Z,a58bc85c-62c8-4979-933a-de694dc7e653,DevTools,iarState,actionRun,HomeButton,,,goToScene,,,
2026-07-17T16:39:29.300Z,a58bc85c-62c8-4979-933a-de694dc7e653,DevTools,iarState,sceneExit,,,2184,,,,
2026-07-17T16:39:29.300Z,a58bc85c-62c8-4979-933a-de694dc7e653,Home,,sceneEnter,,,,,,,
2026-07-17T16:39:31.090Z,a58bc85c-62c8-4979-933a-de694dc7e653,Home,,elementTap,VSCode,button,,,,,
2026-07-17T16:39:31.090Z,a58bc85c-62c8-4979-933a-de694dc7e653,Home,,actionRun,VSCode,,,goToScene,,,
2026-07-17T16:39:31.090Z,a58bc85c-62c8-4979-933a-de694dc7e653,Home,,sceneExit,,,1790,,,,
2026-07-17T16:39:31.090Z,a58bc85c-62c8-4979-933a-de694dc7e653,VsCode,,sceneEnter,,,,,,,
2026-07-17T16:39:32.569Z,a58bc85c-62c8-4979-933a-de694dc7e653,VsCode,,elementTap,CMSIS,button,,,,,
2026-07-17T16:39:32.569Z,a58bc85c-62c8-4979-933a-de694dc7e653,VsCode,,actionRun,CMSIS,,,goToScene,,,
2026-07-17T16:39:32.569Z,a58bc85c-62c8-4979-933a-de694dc7e653,VsCode,,sceneExit,,,1479,,,,
2026-07-17T16:39:32.569Z,a58bc85c-62c8-4979-933a-de694dc7e653,Home,,sceneEnter,,,,,,,
2026-07-17T16:39:33.588Z,a58bc85c-62c8-4979-933a-de694dc7e653,Home,,elementTap,CMSIS,button,,,,,
2026-07-17T16:39:33.588Z,a58bc85c-62c8-4979-933a-de694dc7e653,Home,,actionRun,CMSIS,,,goToScene,,,
2026-07-17T16:39:34.114Z,a58bc85c-62c8-4979-933a-de694dc7e653,Home,,elementTap,CMSIS,button,,,,,
2026-07-17T16:39:34.115Z,a58bc85c-62c8-4979-933a-de694dc7e653,Home,,actionRun,CMSIS,,,goToScene,,,
2026-07-17T16:39:34.115Z,a58bc85c-62c8-4979-933a-de694dc7e653,Home,,sceneExit,,,1546,,,,
2026-07-17T16:39:34.115Z,a58bc85c-62c8-4979-933a-de694dc7e653,CMSIS,,sceneEnter,,,,,,,
